TAG,FR,EN,DE,IT,ES,TR
"Perfume plant (other than geranium and vetiver)","Plante a parfum (autre que geranium et vetiver)","Perfume plant (other than geranium and vetiver)","Parfümpflanze (außer Geranie und Vetiver)","Pianta da profumo (diversa da geranio e vetiver)","Planta aromática (excluyendo geranio y vetiver)","2016 hasadı için ekilen ilkbahar yem bezelyesi"
"Sainfoin planted for the 2016 harvest","Sainfoin implante pour la recolte 2016","Sainfoin planted for the 2016 harvest","Esparsette, gepflanzt für die Ernte 2016","Lupinella piantata per il raccolto 2016","Esparceta plantada para la cosecha de 2016","Parfüm bitkisi (sardunya ve vetiver hariç)"
"Trefle planted for the 2016 harvest","Trefle implante pour la recolte 2016","Trefle planted for the 2016 harvest","Trefle, gepflanzt für die Ernte 2016","Trefle piantata per il raccolto 2016","Trébol plantado para la cosecha de 2016","2016 hasadı için ekilen korunga"
"Vetch planted for the 2016 harvest","Vesce implantee pour la recolte 2016","Vetch planted for the 2016 harvest","Wicke, gepflanzt für die Ernte 2016","Veccia piantata per il raccolto 2016","Veza plantada para la cosecha de 2016","2016 hasadı için ekilen yonca"
"Emergence","Emergence","Emergence","Aufkommen","Emersione","Emergencia","2016 hasadı için ekilen fiğ"
"Heading / Flowering","Épiaison / floraison","Heading / Flowering","Austrieb/Blüte","Teste / Fioritura","Espigado / Floración","Çıkış"
"Maturity NDVI fit","Maturité NDVI fit","Maturity NDVI fit","Reife NDVI fit","Maturità NDVI fit","Madurez NDVI fit","Başlama / Çiçeklenme"
"NDVI Falloff","Chute NDVI","NDVI Falloff","NDVI Fallof","NDVI Fallof","Fallo de NDVI","Olgunluk NDVI uyumu"
"Senescence NDVI fit","Senescence NDVI fit","Senescence NDVI fit","Seneszenz NDVI fit","Senescenza NDVI fit","Senescencia Ajuste NDVI","NDVI Düşüşü"
"Sowing","Semis","Sowing","Aussaat","Semina","Siembra","Yaşlanma NDVI uyumu"
"Type","Type","Type","Type","Type","Type","Ekim"
"Years","Years","Years","Years","Years","Years","Tür"
"Label","Label","Label","Label","Label","Label","Yıllar"
"Labels","Labels","Labels","Labels","Labels","Labels","Etiket"
"Active","Active","Active","Active","Active","Active","Etiketler"
"Bio","Bio","Organic","Organisch","Organico","Ecológico","Aktif"
"Auhorized","Auhorized","Auhorized","Auhorized","Auhorized","Auhorized","Organik"
"Value is not above minimum","Value is not above minimum","Value is not above minimum","Value is not above minimum","Value is not above minimum","Value is not above minimum","Yetkili"
"Geofence","Geofence","Geofence","Geofence","Geofence","Geofence","Değer yukarıda değil minimum"
"Sectorisation","Sectorisation","Sectorisation","Sectorisation","Sectorisation","Sectorisation","Coğrafi sınır"
"Silos","Silos","Silos","Silos","Silos","Silos","Sektörleştirme"
"Warning, updating the list of silos does not affect the catchment areas","Warning, updating the list of silos does not affect the catchment areas","Warning, updating the list of silos does not affect the catchment areas","Warning, updating the list of silos does not affect the catchment areas","Warning, updating the list of silos does not affect the catchment areas","Warning, updating the list of silos does not affect the catchment areas","Silolar"
"Farm types","Farm types","Farm types","Farm types","Farm types","Farm types","Uyarı"
"Sectorisation","Sectorisation","Sectorisation","Sectorisation","Sectorisation","Sectorisation","Çiftlik türleri"
"Organization edition","Organization edition","Organization edition","Organization edition","Organization edition","Organization edition","Sektörleştirme"
"Organization creation","Organization creation","Organization creation","Organization creation","Organization creation","Organization creation","Kuruluş sürümü"
"General informations","General informations","General informations","General informations","General informations","General informations","Kuruluş oluşturma"
"Filters","Filters","Filters","Filters","Filters","Filters","Genel bilgiler"
"All zones","Ensemble des zones","All zones","Alle Zonen","Tutte le zone","Todas las zonas","Filtreler"
"Search","Rechercher","Search","Suche","Ricerca","Buscar","Tüm bölgeler"
"You need to create the organization to access this part","You need to create the organization to access this part","You need to create the organization to access this part","You need to create the organization to access this part","You need to create the organization to access this part","You need to create the organization to access this part","Ara"
"Display labels on map","Afficher les valeurs sur la carte","Display labels on map","Werte auf der Karte anzeigen","Visualizzazione dei valori sulla mappa","Mostrar valores en el mapa","Bu bölüme erişmek için kuruluşu oluşturmanız gerekir"
"PAC DPB grant","Aide PAC DPB 2023 (€)","PAC DPB grant 2023 (€)","PAC DPB grant 2023 (€)","Sovvenzione PAC DPB 2023 (€)","Subvención PAC DPB 2023 (€)","Etiketleri haritada görüntüle"
"Distance to nearest silo (driving distance)","Distance au silo le plus proche (par la route)","Distance to nearest silo (driving distance)","Entfernung zum nächstgelegenen Silo (Fahrstrecke)","Distanza dal silo più vicino (distanza in auto)","Distancia al silo más cercano (distancia en coche)","PAC DPB hibesi 2023 (€)"
"Wiuz label","Wiuz","Wiuz","Wiuz","Wiuz","Wiuz","En yakın siloya olan mesafe (sürüş mesafesi)"
"Not Wiuz","Non Wiuz","Not Wiuz","Not Wiuz","Not Wiuz"," Not Wiuz","Wiuz"
"Super High","Très elevé","Super High","Superhoch","Super alto","Super Alta","Wiuz değil"
"Not Super High","Pas très elevé","Not Super High","Nicht superhoch","Non Super alto","No Super Alta","Çok Yüksek"
"Viewing","Affichage","Viewing","Einsehen","Visualizzazione","Ver","Görüntülenen"
"Editing","Edition","Editing","Bearbeiten","Editing","Edición","Görüntüleme"
"Sowing tracking","Suivi des semis","Sowing tracking","Überwachung der Aussaat","Monitoraggio delle piantine","Seguimiento de las plántulas","Düzenleme"
"crop | crops"," culture | cultures"," crop | crops","crop | crops","crop | crops","crop | crops","Ekim takibi"
"for","pour","for","for","for","for","mahsul | mahsuller"
"No sowing data available for this crop","Pas de données de semis disponibles pour cette culture","No sowing data available for this crop","Keine Aussaatdaten für diese Kultur verfügbar","Non sono disponibili dati di semina per questa coltura","No hay datos de siembra disponibles para este cultivo","için"
"You can only select one crop for now on this chart","Pour le moment, vous ne pouvez sélectionner qu'une seule culture sur ce graphique","You can only select one crop for now on this chart","Sie können jetzt nur eine Kultur in dieser Tabelle auswählen","È possibile selezionare solo una coltura per ora su questo grafico","Sólo puede seleccionar un cultivo por ahora en este gráfico","Bu mahsul için ekim verisi mevcut değil"
"Academy","FAQ","FAQ","FAQ","FAQ","Preguntas frecuentes","Bu grafikte şimdilik yalnızca bir mahsul seçebilirsiniz"
"Invalid password. Please try again.","Le mot de passe incorrect. Merci de réessayer.","Invalid password. Please try again.","Invalid password. Please try again.","Invalid password. Please try again.","Invalid password. Please try again.","SSS"
"Coordinates","Coordonées GPS","Coordinates","GPS-Koordinaten","Coordinate GPS","Coordenadas GPS","Geçersiz şifre. Lütfen tekrar deneyin. Koordinatlar"
"Download parcels details CSV","Télécharger le détails des parcelles en csv","Download parcels details csv","Paketdetails csv herunterladen","Scarica i dettagli delle parcelle in formato csv","Descargar detalles de parcelas csv","Parsel ayrıntılarını csv olarak indirin"
"Coop name","Nom de la coop","Coop name","Name der Genossenschaft","Nome della cooperativa","Nombre de la cooperativa","Kooperatif adı"
"Coop id","Id de la coop","Coop id","id der Genossenschaft","id della cooperativa","id de la cooperativa","Kooperatif kimliği"
"Oat","Avoine","Oat","Hafer","Avena","Avena","Yulaf"
"Cotton","Coton","Cotton","Baumwolle","Cotone","Algodón","Pamuk"
"Vegetables and flowers","Légumes et fleurs","Vegetables and flowers","Gemüse und Blumen","Ortaggi e fiori","Hortalizas y flores","Sebzeler ve çiçekler"
"Wheat","Blé"," Wheat","Weizen","Grano","Trigo","Buğday"
"Non-citrus fruit trees","Arbres fruitiers (sauf agrumes)"," Non-citrus fruit trees","Nicht-Zitrusfruchtbäume","Alberi da frutto non agrumicoli","Frutales no cítricos","Narenciye dışı meyve ağaçları"
"Citrus fruit trees","Agrumes","Citrus fruit trees","Zitrusfruchtbäume","Agrumi","Cítricos","Narenciye ağaçları"
"Olive trees","Oliviers","Olive trees","Olivenbäume","Olivo","Olivos","Zeytin ağaçları"
"Barley","Orge","Barley","Gerste","Orzo","Cebada","Arpa"
"Non-Agricultural","Non-agricoles","Non-Agricultural","Nicht-landwirtschaftliche Erzeugnisse","Non agricolo","No agrícolas","Tarım Dışı"
"Organizations Management","Organizations Management","Organizations Management","Organizations Management","Organizations Management","Organizations Management","Kuruluş Yönetimi"
"Labels Management","Labels Management","Labels Management","Labels Management","Labels Management","Labels Management","Etiketler Yönetimi"
"Area for","Surface pour","Area for","Area for","Area for","Area for","Alan"
"1 - Low","1 - Faible","1 - Low","1 - Niedrig","1 - Basso","1 - Bajo","1 - Düşük"
"2 - Medium","2 - Moyen","2 - Medium","2 - Mittel","2 - Medio","2 - Medio","2 - Orta"
"3 - High","3 - Elevé","3 - High","3 - Hoch","3 - Alto","3 - Alto","3 - Yüksek"
"4 - Super High","4 - Très élevé","4 - Super High","4 - Sehr hoch","4 - Super alto","4 - Súper alto","4 - Çok Yüksek"
"Not High","Pas élevé","Not High","Nicht hoch","Non alto","No alto","Yüksek Değil"
"High or very high","Elevé ou très elevé","High or very high","Hoch oder sehr hoch","Alto o molto alto","Alto o muy alto","Yüksek veya çok yüksek"
"Not high or very high","Pas elevé ou très élevé","Not high or very high","Nicht hoch oder sehr hoch","Non alto o molto alto","No alto o muy alto","Yüksek değil veya çok yüksek"
"Not Low","Pas faible","Not low","Nicht niedrig","Non basso","No bajo","Düşük değil"
"Low or medium","Faible ou moyen","Low or medium","Niedrig oder mittel","Basso o medio","Bajo o medio","Düşük veya orta"
"Not Low or medium","Pas faible ou moyen","Not low or medium","Nicht niedrig oder mittel","Non basso o medio","No bajo o medio","Düşük veya orta değil"
"Not Medium","Pas moyen","Not medium","Nicht mittel","Non medio","No media","Orta değil"
"Medium or high","Moyen ou élevé","Medium or high","Mittel oder hoch","Medio o alto","Media o alta","Orta veya yüksek"
"Not medium or high","Pas moyen ou élevé","Not medium or high","Nicht mittel oder hoch","Non medio o alto","No media o alta","Orta veya yüksek değil"
"Shadow name","Shadow name","Shadow name","Shadow name","Shadow name","Shadow name","Gölge adı"
"Description","Description","Description","Description","Description","Description","Açıklama"
"Category","Category","Category","Category","Category","Category","Kategori"
"Last update","Last update","Last update","Last update","Last update","Last update","Son güncelleme"
"Field information","Données à la parcelles","Field information","Feldinformationen","Informazioni sul campo","Información de campo","Alan bilgisi"
"Performance metric","Performance commerciale","Performance metric","Leistungsmetrik","Metrica delle prestazioni","Métrica de rendimiento","Performans metriği"
"Relative evolution (vs. n-1)","Evolution relative (vs. n-1)","Relative evolution (vs. n-1)","Relative Entwicklung (vs. n-1)","Evoluzione relativa (rispetto a n-1)","Evolución relativa (vs. n-1)","Göreceli evrim (n-1'e karşı)"
"Absolute evolution (vs. n-1)","Evolution absolue (vs. n-1)","Absolute evolution (vs. n-1)","Absolute Entwicklung (vs. n-1)","Evoluzione assoluta (rispetto a n-1)","Evolución absoluta (vs. n-1)","Mutlak evrim (n-1'e karşı)"
"Raw","Brut","Raw","Rohdaten","Grezzo","En bruto","Ham"
"Evolution compared to previous year","Evolution par rapport à l'année précédente","Evolution compared to previous year","Entwicklung im Vergleich zum Vorjahr","Evoluzione rispetto all'anno precedente","Evolución comparada con el año anterior","Önceki yıla kıyasla evrim"
"Language","Langue","Language","Sprache","Lingua","Idioma","Dil"
"Organization","Organisation","Organization","Organisation","Organizzazione","Organización","Kuruluş"
"Edit profile","Modifier mon profil","Edit profile","Profil bearbeiten","Modifica del profilo","Editar perfil","Profili düzenle"
"Disconnect","Déconnexion","Disconnect","Trennen","Disconnessione","Desconectar","Bağlantıyı kes"
"is inside","est à l'intérieur de","is inside","ist innerhalb","è all'interno di","está dentro de","içindedir"
"is equal to","est égal à","is equal to","ist gleich","è uguale a","es igual a","eşittir"
"is greater than","est supérieur à","is greater than","ist größer als","è maggiore di","es mayor que","daha büyüktür"
"is lower than","est inférieur à","is lower than","ist kleiner als","è inferiore a","es menor que","daha düşüktür"
"Filters","Filtres","Filters","Filter","Filtri","Filtros","Filtreler"
"Reset parcel filter","Réinitialiser le filtre parcellaire","Reset parcel filter","Parzellenfilter zurücksetzen","Azzeramento del filtro parcella","Restablecer filtro de parcela","Parsel filtresini sıfırla"
"Please create a zone group so you can add zones to it from this panel","Veuillez créer une sectorisation afin de pouvoir y ajouter des zones à partir de ce panneau","Please create a zone group so you can add zones to it from this panel","Bitte erstellen Sie eine Zonengruppe","Si prega di creare un gruppo di zone in modo da potervi aggiungere zone da questo pannello","Por favor","Lütfen bu panelden bölgeler ekleyebilmeniz için bir bölge grubu oluşturun"
"Harvest","Récolte","Harvest","Ernte","Raccolta","Cosecha","Hasat"
"filtered","Filtre actif","filtered","gefiltert","filtrata","filtrada","filtrelendi"
"Percentage of surface with","Pourcentage de surface avec","Percentage of surface with","Prozentsatz der Fläche mit","Percentuale di superficie con","Porcentaje de superficie con","Yüzeyin yüzdesi"
"Surface with","Surface avec","Surface with","Fläche mit","Superficie con","Superficie con","Yüzey"
"Unfiltered","Filtre inapplicable","Inapplicable filter","Nicht anwendbarer Filter","Filtro inapplicabile","Filtro inaplicable","Uygulanamaz filtre"
"Change zone","Changer de zone","Change zone","Zone ändern","Cambia zona","Cambiar zona","Bölgeyi değiştir"
"Analysis library","Bibliothèque d'analyses","Analysis library","Analysebibliothek","Libreria di analisi","Biblioteca de análisis","Analiz kütüphanesi"
"Data type","Type de données","Data type","Datentyp","Tipo di dati","Tipo de datos","Veri türü"
"Unit","Unité","Unit","Einheit","Unità","Unidad","Birim"
"Add","Ajouter","Add","Hinzufügen","Aggiungi","Añadir","Ekle"
"No linked farm","Reliée à aucune exploitation","No linked farm","Kein verknüpfter Betrieb","Nessuna azienda collegata","Ninguna explotación vinculada","Bağlantılı çiftlik yok"
"Api","Api","Api","Api","Api","Api","Api"
"Share URL","Partager l'URL","Share URL","URL freigeben","Condividere l'URL","Compartir URL","URL'yi paylaş"
"Open field filter","Ouvrir le filtre de parcelles","Open field filter","Feldfilter öffnen","Aprire il filtro di campo","Abrir filtro de campo","Alan filtresini aç"
"Reset field filter","Réinitialiser le filtre de parcelles","Reset field filter","Feldfilter zurücksetzen","Reimpostare il filtro di campo","Restablecer filtro de campo","Alan filtresini sıfırla"
"Filters are not available on this analyse","Les filtres ne sont pas disponibles sur cette analyse","Filters are not available on this analyse","Filter sind bei dieser Analyse nicht verfügbar","I filtri non sono disponibili in questa analisi","Los filtros no están disponibles en este análisis","Filtreler bu analizde mevcut değil"
"Display text labels","Afficher les étiquettes de texte","Display text labels","Textbeschriftungen anzeigen","Visualizzare le etichette di testo","Mostrar etiquetas de texto","Metin etiketlerini görüntüle"
"Search location","Rechercher un lieu","Search location","Standort suchen","Ricerca località","Buscar ubicación","Konumu ara"
"Show zone split","Afficher la répartition des zones","Show zone split","Zonenteilung anzeigen","Mostra suddivisione zone","Mostrar división en zonas","Bölge ayrımını göster"
"Search analyse","Rechercher une analyse","Search analyse","Analyse suchen","Ricerca analisi","Buscar análisis","Analizde ara"
"Add zone","Ajouter une zone","Add zone","Zone hinzufügen","Aggiungi zona","Añadir zona","Bölge ekle"
"This zone group is public","Cette sectorisation est publique","This zone group is public","Diese Zonengruppe ist öffentlich","Questo gruppo di zone è pubblico","Este grupo de zonas es público","Bu bölge grubu herkese açıktır"
"Create zone group","Créer une sectorisation","Create zone group","Zonengruppe erstellen","Crea gruppo di zone","Crear grupo de zonas","Bölge grubu oluştur"
"Please select a zone on the map or from the list to edit it","Veuillez sélectionner une zone sur la carte ou dans la liste pour la modifier","Please select a zone on the map or from the list to edit it","Bitte wählen Sie eine Zone auf der Karte oder aus der Liste aus","Selezionare una zona sulla mappa o dall'elenco per modificarla","Seleccione una zona en el mapa o en la lista para editarla","Düzenlemek için lütfen haritada veya listeden bir bölge seçin"
"Id has been copied to your clipboard","L'identifiant a été copié dans votre presse-papiers","Id has been copied to your clipboard","Kennung wurde in die Zwischenablage kopiert","L'id è stato copiato negli appunti","La identificación se ha copiado en el portapapeles","Kimlik panonuza kopyalandı"
"Compare zones","Comparer les zones","Compare zones","Zonen vergleichen","Confrontare le zone","Comparar zonas","Bölgeleri karşılaştır"
"Create one line per zone (only available for less than 20 zones)","Afficher une courbe par zone (disponible uniquement pour moins de 20 zones)","Create one line per zone (only available for less than 20 zones)","Eine Zeile pro Zone erstellen (nur für weniger als 20 Zonen verfügbar)","Creare una riga per zona (disponibile solo per meno di 20 zone)","Crear una línea por zona (sólo disponible para menos de 20 zonas)","Bölge başına bir satır oluştur (sadece 20'den az bölge için kullanılabilir)"
"Relative evolution vs. n-1","Evolution relative par rapport à n-1","Relative evolution vs. n-1","Relative Entwicklung vs. n-1 n-1","Evoluzione relativa vs. n-1 Evoluzione assoluta vs. n. n-1","Evolución relativa frente a n-1 Evolución absoluta frente a n-1 n-1","Göreceli evrim ve n-1"
"Absolute evolution vs. n-1","Evolution absolue par rapport à  n-1","Absolute evolution vs. n-1","Absolute Entwicklung im Vergleich zu n-1","Evoluzione assoluta rispetto a n-1","Evolución absoluta vs. n-1","Mutlak evrim ve n-1"
"Percentage","Pourcentage","Percentage","Prozentualer Anteil","Percentuale","Porcentaje","Yüzde"
"with","avec","with","mit","con","con","ile"
"Area (ha)","Surface (ha)","Area (ha)","Fläche (ha)","Superficie (ha)","Superficie (ha)","Alan (ha)"
"You can also search for coordinates (ex: 48.86;2.33) or parcel id (ex: [250000051000079532])","Vous pouvez également rechercher les coordonnées (ex : 48.86;2.33) ou l'identifiant de la parcelle (ex : [250000051000079532])","You can also search for coordinates (ex: 48.86;2.33) or parcel id (ex: [250000051000079532])","Sie können auch nach Koordinaten (z. B. 48.86;2.33) oder Parzellen-ID (z. B. [250000051000079532]) suchen","È possibile cercare anche per coordinate (es. 48.86;2.33) o id parcella (es. [250000051000079532])","También puede buscar por coordenadas (ej: 48.86;2.33) o id de parcela (ej: [250000051000079532])","Ayrıca koordinatları (örn: 48.86;2.33) veya parsel kimliğini (örn: [250000051000079532])"
"No zone group available. You can only edit zone groups you have created","Aucune sectorisation n'est disponible. Vous ne pouvez modifier que les sectorisations que vous avez créées","No zone group available. You can only edit zone groups you have created","Keine Zonengruppe verfügbar. Sie können nur Zonengruppen bearbeiten","Non è disponibile alcun gruppo di zone. È possibile modificare solo i gruppi di zone creati","No hay ningún grupo de zonas disponible. Sólo puede editar los grupos de zonas que haya creado","Mevcut bölge grubu yok. Yalnızca oluşturduğunuz bölge gruplarını düzenleyebilirsiniz"
"No value","Pas de valeur","No value","Kein Wert","Nessun valore","Sin valor","Değer yok"
"Zone group has been successfully created.","La sectorisation a été créée avec succès.","Zone group has been successfully created.","Die Zonengruppe wurde erfolgreich erstellt.","Il gruppo di zone è stato creato con successo.","El grupo de zonas ha sido creado correctamente.","Bölge grubu başarıyla oluşturuldu."
"Accessible territory","Territoire accessible","Accessible territory","Erreichbares Gebiet","Territorio accessibile","Territorio accesible","Erişilebilir bölge"
"Entire territory accessible","Tout le territoire accessible","Entire territory accessible","Ganzes Gebiet erreichbar","Tutto il territorio accessibile","Todo el territorio accesible","Tüm bölge erişilebilir"
"Add new colleague","Inviter un nouveau collègue","Add new colleague","Neuen Kollegen hinzufügen","Aggiungi nuovo collega","Añadir nuevo colega","Yeni meslektaş ekle"
"Waiting...","En attente...","Waiting...","Warten...","In attesa...","Esperando...","Bekleniyor..."
"Profile","Profil","Profile","Profil","Profilo","Perfil","Profil"
"Explore","Explorer","Explore","Erkunden","Esplora","Explorar","Keşfet"
"Organization management","Gestion des organisations","Organization management","Organisationsmanagement","Gestione dell'organizzazione","Gestión de organizaciones","Kuruluş yönetimi"
"Label management","Gestion des labels","Label management","Etikettenmanagement","Gestione delle etichette","Gestión de etiquetas","Etiket yönetimi"
"SIRET","SIRET","SIRET","SIRET","SIRET","SIRET","SIRET"
"Wiuz","Wiuz","Wiuz","Wiuz","Wiuz","Wiuz","Wiuz"
"Elevage Ovin/caprin","Elevage Ovin/caprin","Elevage Ovin/caprin","Elevage Ovin/caprin","Elevage Ovin/caprin","Elevage Ovin/caprin","Elevage Ovin/caprin"
"Elevage Porc/porcin","Elevage Porc/porcin","Elevage Porc/porcin","Elevage Porc/porcin","Elevage Porc/porcin","Elevage Porc/porcin","Elevage Porc/porcin"
"Elevage autres bovins","Elevage autres bovins","Elevage autres bovins","Elevage autres bovins","Elevage autres bovins","Elevage autres bovins","Elevage autres bovins"
"Edit or create preset","Editer ou créer un preset","Edit or create preset","Bearbeiten oder erstellen Sie eine Voreinstellung","Modificare o creare una preimpostazione","Editar o crear preajuste","Ön ayarı düzenle veya oluştur"
"Tables","Tableaux","Tables","Tabellen","Tabelle","Tablas","Tablolar"
"Charts","Graphiques","Charts","Diagramme","Grafici","Gráficos","Grafikler"
"Cartographies","Cartographies","Cartographies","Kartografien","Cartografie","Cartografías","Kartografyalar"
"Help","Aide","Help","Hilfe","Aiuto","Ayuda","Yardım"
"Welcome on Hyperplan new version ! Check the video to see what is new","Bienvenue sur la nouvelle version d'Hyperplan ! Regardez la vidéo pour voir les nouveautés","Welcome on the new version of Hyperplan ! Check the video to see what is new","Willkommen bei der neuen Version von Hyperplan! Schauen Sie sich das Video an, um zu sehen, was neu ist","Benvenuti nella nuova versione di Hyperplan! Guardate il video per vedere le novità","¡Bienvenido a la nueva versión de Hyperplan! Vea el vídeo para conocer las novedades","Hyperplan'ın yeni sürümüne hoş geldiniz! Yenilikleri görmek için videoyu izleyin"
"I want to filter on fields...",Je veux filtrer sur les parcelles...,I want to filter on fields...,Ich möchte nach Feldern filtern...,Voglio filtrare i campi...,Quiero filtrar por campos...,"Alanlara göre filtreleme yapmak istiyorum..."
"fields",parcelles,fields,Felder,campi,campos,alanlar
On week of,la semaine du,on week of,in der Woche vom,la settimana di,en la semana de,haftasında
"GPS coordinates","Coordonées GPS","GPS coordinates","GPS-Koordinaten","Coordinate GPS","Coordenadas GPS","GPS koordinatları"
"Satellite data","Données satellite","Satellite data","Satellitendaten","Dati satellitari","Datos por satélite","Uydu verileri"
"Autres","Autres","Other","Andere","Altro","Otros","Diğer"
"Agronomie","Agronomie","Agronomy","Agronomie","Agronomia","Agronomía","Tarım Bilimi"
"Exploitation / Supply-Chain","Exploitation / Supply-Chain","Operations / Supply-Chain","Betrieb / Supply-Chain","Operations / Supply-Chain","Operaciones / Cadena de suministro","Operasyonlar / Tedarik Zinciri"
"Hyperplan ","Hyperplan ","Hyperplan ","Hyperplan ","Hyperplan ","Hiperplanificación ","Hiperplan"
"IT / Digital","IT / Digital","IT / Digital","IT / Digital","IT / Digital","TI / Digital","BT / Dijital"
"Marketing / Sales Effectiveness / Directeur commercial","Marketing / Sales Effectiveness / Directeur commercial","Marketing / Sales Effectiveness / Sales manager","Marketing / Sales Effectiveness / Verkaufsleiter","Marketing / Sales Effectiveness / Sales Director","Marketing / Eficacia comercial / Director de ventas","Pazarlama / Satış Etkinliği / Direktör reklamı"
"Technico-commercial","Technico-commercial","Technico-commercial","Technischer Verkaufsleiter","Tecnico commerciale","Ventas técnicas","Teknik-ticari"
"Responsable appro","Responsable appro","Supply manager","Versorgungsmanager","Supply manager","Gestor de suministros","Sorumlu onay"
"Responsable collecte / Trading","Responsable collecte / Trading","Collection / Trading manager","Sammel- / Handelsmanager","Collection / Trading manager","Gestor de cobros / comercio","Sorumlu tahsilat / Ticaret"
"Responsable région (commercial)","Responsable région (commercial)","Regional manager (sales)","Regionalleiter (Handel)","Manager regionale (vendite)","Gestor regional (ventas)","Sorumlu bölge (ticari)"
"Sustainability label","Sustainability label","Sustainability label","Sustainability label","Sustainability label","Sustainability label","Sustainability label"
"Trial","Trial","Trial","Trial","Trial","Trial","Trial"
"Preset edition","Preset edition","Preset edition","Preset edition","Preset edition","Preset edition","Preset edition"
"Please add or edit following information","Please add or edit following information","Please add or edit following information","Please add or edit following information","Please add or edit following information","Please add or edit following information","Please add or edit following information"
"Id","Id","Id","Id","Id","Id","Id"
"Method","Method","Method","Method","Method","Method","Method"
"Module","Module","Module","Module","Module","Module","Module"
"Content","Content","Content","Content","Content","Content","Content"
"Add column","Add column","Add column","Add column","Add column","Add column","Add column"
"Chart","Chart","Chart","Chart","Chart","Chart","Chart"
"Mode","Mode","Mode","Modus","Modalità","Modo","Mod"
"Zone group has been successfully deleted.","La sectorisation a été supprimée avec succès.","Zone group has been successfully deleted.","Die Zonengruppe wurde erfolgreich gelöscht.","Il gruppo di zone è stato eliminato con successo.","El grupo de zonas se ha eliminado correctamente.","Bölge grubu başarıyla silindi."
"Zone has been successfully created.","La zone a été créée avec succès.","Zone has been successfully created.","Die Zone wurde erfolgreich erstellt.","La zona è stata creata con successo.","La zona se ha creado correctamente.","Bölge başarıyla oluşturuldu."
"Create new organization","Créer une nouvelle organisation","Create new organization","Neue Organisation erstellen","Creare una nuova organizzazione","Crear nueva organización","Yeni organizasyon oluşturun"
"Authorized","Autorisé","Authorized","Autorisiert","Autorizzato","Autorizado","Yetkili"
"Presets raw text","Presets raw text","Presets raw text","Presets raw text","Presets raw text","Presets raw text","Presets raw text"
"Delete all presets","Delete all presets","Delete all presets","Delete all presets","Delete all presets","Delete all presets","Delete all presets"
"Label edition","Label edition","Label edition","Label edition","Label edition","Label edition","Label edition"
"Editable","Modifiable","Editable","Editierbar","Modificabile","Editable","Düzenlenebilir"
"Yearly","Annuel","Yearly","Jährlich","Annuale","Anual","Yıllık"
"Weekly","Hebdomadaire","Weekly","Wöchentlich","Settimanale","Semanal","Haftalık"
"Min","Min","Min","Min","Min","Mín","Min"
"Max","Max","Max","Max","Massimo","Max","Maksimum"
"Display precision","Display precision","Display precision","Display precision","Display precision","Display precision","Display precision"
"Text","Text","Text","Text","Text","Text","Text"
"Color","Color","Color","Color","Color","Color","Color"
"Login","Connexion","Login","Anmeldung","Accesso","Inicio de sesión","Giriş"
"Date Range","Plage de dates","Date Range","Datum Bereich","Intervallo di date","Rango de fechas","Tarih Aralığı"
"No data available for this parameter set (you may want to change crops or harvest year)","Aucune donnée n'est disponible pour ces paramètres (vous pouvez essayer de changer les cultures ou l'année considérées).","No data available for this parameter set (you may want to change crops or harvest year)","No data available for this parameter set (you may want to change crops or harvest year)","Nessun dato disponibile per questo set di parametri (è possibile che si voglia cambiare coltura o anno di raccolta)","No hay datos disponibles para este conjunto de parámetros (es posible que desee cambiar los cultivos o el año de cosecha)","Bu parametre seti için veri mevcut değil (mahsulleri veya hasat yılını değiştirmek isteyebilirsiniz)"
"Organization edited successfully","Organization edited successfully","Organization edited successfully","Organization edited successfully","Organization edited successfully","Organization edited successfully","Organization edited successfully"
"Accumulated rainfall","Pluies cumulées","Accumulated rainfall","Kumulierte Niederschlagsmenge","Precipitazioni accumulate","Precipitación acumulada","Birikmiş yağış"
"Max.","Max.","Max.","Max.","Max.","Máx.","Max."
"Field caracteristic edition","Edition des caractéristiques du champ","Field caracteristic edition","Feldcharakteristik Ausgabe","Edizione delle caratteristiche del campo","Edición de características de campo","Saha karakteristik baskısı"
"Field information have been successfully updated.","Les informations de la parcelle ont été mises à jour avec succès.","Field information have been successfully updated.","Die Feldinformationen wurden erfolgreich aktualisiert.","Le informazioni sul campo sono state aggiornate con successo.","La información del campo se ha actualizado correctamente.","Saha bilgileri başarıyla güncellendi."
"Farm data","Farm data","Farm data","Daten zum Betrieb","Dati dell'azienda agricola","Datos de la explotación","Çiftlik verileri"
"Market share seed","Part de marché semences","Market share seed","Marktanteil Saatgut","Quota di mercato delle sementi","Cuota de mercado de semillas","Pazar payı tohum"
"Focus on","Focus sur","Focus on","Fokus auf","Focus su","Enfoque","Odaklanmak"
"Sorry, a technical issue occurred","Veuillez nous excuser, un problème technique est survenu","Sorry, a technical issue occurred","Entschuldigung,  ein technisches Problem ist aufgetreten","Spiacente,  si è verificato un problema tecnico","Lo sentimos,  se ha producido un problema técnico","Üzgünüz"
